hi,スキャン用,JANコード,区分,商品名,規格,製造会社,納入業者,納入価格,単価,入数,定数,発注単位,発注点,使用方法及び説明,発注条件,交換パーツ,添付文書
1ID0049,,CEM043,人工呼吸器,バリベント,300－300－000J,株式会社トータルメディカルサプライ,フォーム,,,,,箱,,呼吸器病棟へ出荷時に装着,,,
1ID0050,,CEM035,その他,東芝電池 単3アルカリ電池,LR6T(JE)NR,TOSHIBA,,,,,12,本,6,単3アルカリ電池,定数キープ,,
1ID0051,,CEM033,生体情報モニタ,RD SET リユーサブル指センサ,RD DCI 4050,Masimo,フクダ電子,,75000,,,,,,,,
1ID0052,,CEM031,生体情報モニタ,ホルダー（フリータイプ）,UDMP111N,エドワーズライフサイエンス,フォーム,,700,,,個,,必要時,,,
1ID0053,,CEM030,生体情報モニタ,トランスデューサーホルダー（３レンヨウ）,UDMP333N,エドワーズライフサイエンス,フォーム,,700,,,尾,,必要時,,,
1ID0054,,CEM027,生体情報モニタ,TWケーブル フクダデンシヨウ,UD896508021,エドワーズライフサイエンス,フォーム,,3200,,,,,必要時,,,
1ID0055,,CEM026,その他,Ambu蘇生バッグ酸素リザーバーバッグ(成人用),,IMI,八神製作所,,,,,個,,バッグバルブのリザーバーバッグ,,,
1ID0056,,CEM024,生体情報モニタ,モニタ用血圧カフカバー 成人用標準,CUFF-GUARD ADT,フクダ電子,フクダ電子,,384,,,個,,血圧カフのカバー,,TRUE,
1ID0057,,CEM021,生体情報モニタ,センサ接続ケーブル（ネルコア）,DOC-10,フクダ電子,フクダ電子,,18000,,,本,,ベッドサイドモニタで使用するネルコアセンサとの接続ケーブル,,TRUE,
1ID0058,01045386120544641050GA06,4538612054464,生体情報モニタ,エアホース（3.5ｍ）（DS-8000シリーズ）,OA-80APR3.5,フクダ電子,フクダ電子,,10800,,,本,,ベッドサイドモニタDS-8000シリーズで使用する血圧カフ中継ホース,,TRUE,
1ID0059,,CEM015,生体情報モニタ,エアホース（血圧中継） （DS-7000シリーズ）,OA-70-APR3.5,フクダ電子,フクダ電子,,3150,,,本,,ベッドサイドモニタDS-7000シリーズで使用する血圧カフの中継ホース,,TRUE,
1ID0060,01045386120394471055DA03,4538612039447,生体情報モニタ,中継ケーブル 心電図 （DC-7000シリーズ）,CI-700D-3,フクダ電子,フクダ電子,,13600,,,本,,ベッドサイドモニタDS-7000シリーズで使用する心電図中継ケーブル,,TRUE,
1ID0061,,CEM013,その他,圧力計,,,,,,,,個,,輸液ポンプの閉塞圧を測る,,,
1ID0062,,CEM010,その他,ボックスティッシュ,,,,,,,,個,,,,,
1ID0063,,CEM006,その他,修正テープ本体,,,,,,,,個,,,,,
1ID0064,,CEM005,ラミネートテープ,brother Tze 相互テープ 赤地金字,Tze-454,,,,,,,個,,"P-touchにて使用するテープ
 機器管理のため",,,
1ID0065,,CEM004,ラミネートテープ,brother Tze 相互テープ 緑地金字,Tze-754,,,,,,,個,,"P-touchにて使用するテープ
 機器管理のため",,,
1ID0066,,CEM003,ラミネートテープ,brother Tze 相互テープ 青地金字,Tze-554,,,,,,,個,,"P-touchにて使用するテープ
 機器管理のため",,,
